Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5330397,SA_0000001688,COUNTRY,LVA,EUR,Europe,YEAR,2007,SEX,SEX_MLE,,,,,,,19.8 [13.8 - 26.1],19.78513,13.81101,26.12131,,2024-06-21T08:49:58Z,2007,2007-01-01,2007-12-31
5332576,SA_0000001688,COUNTRY,HRV,EUR,Europe,YEAR,2011,SEX,SEX_MLE,,,,,,,15.3 [9.0 - 21.7],15.26045,9.01463,21.74307,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5332637,SA_0000001688,COUNTRY,AZE,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,,,,,,,1.6 [0.3 - 3.1],1.56995,0.27366,3.12453,,2024-06-21T08:49:58Z,2000,2000-01-01,2000-12-31
5333534,SA_0000001688,COUNTRY,MEX,AMR,Americas,YEAR,2002,SEX,SEX_FMLE,,,,,,,2.5 [1.4 - 3.7],2.50727,1.4377,3.68879,,2024-06-21T08:49:58Z,2002,2002-01-01,2002-12-31
5333637,SA_0000001688,COUNTRY,HND,AMR,Americas,YEAR,2004,SEX,SEX_FMLE,,,,,,,1.3 [0.7 - 2.0],1.3067,0.6789,2.01383,,2024-06-21T08:49:58Z,2004,2004-01-01,2004-12-31
5337136,SA_0000001688,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2012,SEX,SEX_FMLE,,,,,,,1.8 [1.0 - 2.7],1.82706,1.02671,2.70434,,2024-06-21T08:49:58Z,2012,2012-01-01,2012-12-31
5337256,SA_0000001688,COUNTRY,GRC,EUR,Europe,YEAR,2002,SEX,SEX_BTSX,,,,,,,8.8 [6.1 - 11.6],8.77115,6.06739,11.5551,,2024-06-21T08:49:58Z,2002,2002-01-01,2002-12-31
5337307,SA_0000001688,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2020,SEX,SEX_BTSX,,,,,,,0.1 [0.0 - 0.4],0.09236,0,0.44122,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
5337389,SA_0000001688,GLOBAL,GLOBAL,,,YEAR,2012,SEX,SEX_FMLE,,,,,,,2.4 [2.2 - 2.7],2.43434,2.16807,2.72361,,2024-06-21T08:49:58Z,2012,2012-01-01,2012-12-31
5338341,SA_0000001688,COUNTRY,CHE,EUR,Europe,YEAR,2007,SEX,SEX_FMLE,,,,,,,5.3 [3.9 - 6.9],5.3428,3.86697,6.93601,,2024-06-21T08:49:58Z,2007,2007-01-01,2007-12-31
5338562,SA_0000001688,COUNTRY,KAZ,EUR,Europe,YEAR,2017,SEX,SEX_MLE,,,,,,,8.0 [4.7 - 11.7],7.98338,4.68216,11.73911,,2024-06-21T08:49:58Z,2017,2017-01-01,2017-12-31
5339778,SA_0000001688,COUNTRY,POL,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,11.6 [8.3 - 14.9],11.62513,8.30887,14.93637,,2024-06-21T08:49:58Z,2019,2019-01-01,2019-12-31
5340042,SA_0000001688,COUNTRY,BFA,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,9.8 [6.8 - 13.0],9.81281,6.7724,13.00811,,2024-06-21T08:49:58Z,2019,2019-01-01,2019-12-31
5340277,SA_0000001688,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2011,SEX,SEX_BTSX,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5341054,SA_0000001688,REGION,AMR,,,YEAR,2016,SEX,SEX_FMLE,,,,,,,3.3 [2.8 - 3.9],3.31699,2.77324,3.88826,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
5341655,SA_0000001688,COUNTRY,ITA,EUR,Europe,YEAR,2015,SEX,SEX_BTSX,,,,,,,7.7 [5.3 - 10.3],7.67835,5.29251,10.26138,,2024-06-21T08:49:58Z,2015,2015-01-01,2015-12-31
5341763,SA_0000001688,COUNTRY,UKR,EUR,Europe,YEAR,2015,SEX,SEX_MLE,,,,,,,16.3 [10.7 - 21.9],16.25062,10.68653,21.87681,,2024-06-21T08:49:58Z,2015,2015-01-01,2015-12-31
